file_name,device_serial,host_ip,iteration,mBands,ssRsrp,ssRsrq,ssSinr,level,mean_ssRsrp,mean_ssRsrq,mean_ssSinr
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,121,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,122,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,123,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,124,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,125,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,126,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,127,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,128,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,129,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,130,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,131,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,132,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,133,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,134,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,135,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,136,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,137,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,138,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,139,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,140,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,141,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,142,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,143,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,144,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,145,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,146,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,147,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,148,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,149,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,150,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,151,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,152,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,153,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,154,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,155,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,156,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,157,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,158,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,159,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,160,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,161,78,-54,-11,32,4,-54,-11,32
