x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,loss_db,throughput_kbps
0.0,0,25.0,18.65,0,1.5,58.64,404776.6
0.0,0,25.0,18.65,0,1.5,58.64,405325.07
0.0,0,25.0,18.65,0,1.5,58.64,404792.22
0.0,0,25.0,18.65,0,1.5,58.64,404353.48
0.0,0,25.0,18.65,0,1.5,58.64,405455.62
0.0,0,25.0,18.65,0,1.5,58.64,402647.41
0.0,0,25.0,18.65,0,1.5,58.64,404967.3
0.0,0,25.0,18.65,0,1.5,58.64,404643.28
0.0,0,25.0,18.65,0,1.5,58.64,404897.0
0.0,0,25.0,18.65,0,1.5,58.64,403654.85
0.0,0,25.0,18.65,0,1.5,58.64,406507.17
0.0,0,25.0,18.65,0,1.5,58.64,404790.52
0.0,0,25.0,18.65,0,1.5,58.64,404741.59
0.0,0,25.0,18.65,0,1.5,58.64,405265.79
0.0,0,25.0,18.65,0,1.5,58.64,404281.38
0.0,0,25.0,18.65,0,1.5,58.64,405021.85
0.0,0,25.0,18.65,0,1.5,58.64,405714.91
0.0,0,25.0,18.65,0,1.5,58.64,404890.33
0.0,0,25.0,18.65,0,1.5,58.64,405082.5
0.0,0,25.0,18.65,0,1.5,58.64,405058.98
0.0,0,25.0,18.65,0,1.5,58.64,402554.69
0.0,0,25.0,18.65,0,1.5,58.64,407721.16
0.0,0,25.0,18.65,0,1.5,58.64,397552.94
0.0,0,25.0,18.65,0,1.5,58.64,392568.42
0.0,0,25.0,18.65,0,1.5,58.64,398198.37
0.0,0,25.0,18.65,0,1.5,58.64,400888.7
0.0,0,25.0,18.65,0,1.5,58.64,400527.82
0.0,0,25.0,18.65,0,1.5,58.64,397484.58
0.0,0,25.0,18.65,0,1.5,58.64,402892.89
0.0,0,25.0,18.65,0,1.5,58.64,404520.38
0.0,0,25.0,18.65,0,1.5,58.64,403296.82
0.0,0,25.0,18.65,0,1.5,58.64,404432.08
0.0,0,25.0,18.65,0,1.5,58.64,405073.08
0.0,0,25.0,18.65,0,1.5,58.64,405118.76
0.0,0,25.0,18.65,0,1.5,58.64,403929.1
0.0,0,25.0,18.65,0,1.5,58.64,404151.25
0.0,0,25.0,18.65,0,1.5,58.64,404934.3
0.0,0,25.0,18.65,0,1.5,58.64,405023.74
0.0,0,25.0,18.65,0,1.5,58.64,405066.68
0.0,0,25.0,18.65,0,1.5,58.64,405013.48
0.0,0,25.0,18.65,0,1.5,58.64,404907.35
0.0,0,25.0,18.65,0,1.5,58.64,405241.59
0.0,0,25.0,18.65,0,1.5,58.64,405315.18
0.0,0,25.0,18.65,0,1.5,58.64,404445.86
0.0,0,25.0,18.65,0,1.5,58.64,405323.51
0.0,0,25.0,18.65,0,1.5,58.64,405099.47
0.0,0,25.0,18.65,0,1.5,58.64,404815.52
0.0,0,25.0,18.65,0,1.5,58.64,405064.39
0.0,0,25.0,18.65,0,1.5,58.64,404702.94
0.0,0,25.0,18.65,0,1.5,58.64,404665.14
0.0,0,25.0,18.65,0,1.5,58.64,405736.92
0.0,0,25.0,18.65,0,1.5,58.64,405436.82
0.0,0,25.0,18.65,0,1.5,58.64,404199.17
0.0,0,25.0,18.65,0,1.5,58.64,405652.27
0.0,0,25.0,18.65,0,1.5,58.64,405268.56
0.0,0,25.0,18.65,0,1.5,58.64,404638.1
0.0,0,25.0,18.65,0,1.5,58.64,405108.72
0.0,0,25.0,18.65,0,1.5,58.64,405441.99
0.0,0,25.0,18.65,0,1.5,58.64,404878.58
0.0,0,25.0,18.65,0,1.5,58.64,405053.12
0.0,0,25.0,18.65,0,1.5,58.64,402976.92
0.0,0,25.0,18.65,0,1.5,58.64,407046.36
0.0,0,25.0,18.65,0,1.5,58.64,405159.68
0.0,0,25.0,18.65,0,1.5,58.64,405224.81
0.0,0,25.0,18.65,0,1.5,58.64,404654.67
0.0,0,25.0,18.65,0,1.5,58.64,374950.78
0.0,0,25.0,18.65,0,1.5,58.64,384323.95
0.0,0,25.0,18.65,0,1.5,58.64,404466.57
